,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,dia_da_semana,mes,tipo_faixa,tipo_perfil_de_terreno,iluminacao
334,920.8,camanducaia,2023-11-03,1,MG,60.5493803253292,68.06684491978609,63.84393168604651,60.624826629680996,5164,187,5504,721,0,1,Final_de_Semana,11,Acostamento,Perfil_Ondulado,0
335,59.795,mairipora,2023-02-10,1,SP,61.59008510142224,65.37469879518072,63.26236320462523,58.97903657448707,17156,415,19372,1121,0,1,Final_de_Semana,2,Acostamento,Perfil_Montanhoso,0
336,70.2,mairipora,2023-04-30,0,SP,59.391441700172315,65.1029411764706,63.91511318242343,62.08482142857143,1741,204,3004,224,0,0,Final_de_Semana,4,Terceira_faixa,Perfil_Montanhoso,0
337,59.795,mairipora,2023-10-18,1,SP,61.996147919876734,66.375,64.38649624895804,60.877969762419006,12980,120,14396,926,0,1,Final_de_Semana,10,Acostamento,Perfil_Montanhoso,0
338,483.7,betim,2023-04-18,1,MG,58.27571884984025,63.82486347087379,61.388794897002676,58.06131465517242,14085,6592,43739,4640,0,1,Final_de_Semana,4,Terceira_faixa,Perfil_Montanhoso,0
339,653.74,santo_antonio_do_amparo,2023-10-12,1,MG,63.74109720885467,66.17669172932331,65.20878218002557,63.73232323232323,4156,133,5477,297,0,0,Final_de_Semana,10,Acostamento,Perfil_Ondulado,0
340,73.06,sao_paulo,2023-03-15,0,SP,63.38467948005777,72.16284074605451,65.59165362254025,63.308716707021794,9001,697,17888,413,0,1,Final_de_Semana,3,Terceira_faixa,Perfil_Ondulado,0
341,59.795,mairipora,2023-04-05,1,SP,60.89877649261216,63.092592592592595,63.49787931366879,58.22432432432432,14957,162,15561,925,0,0,Final_de_Semana,4,Acostamento,Perfil_Montanhoso,0
342,483.7,betim,2023-02-13,1,MG,59.315772378848905,64.03622771707879,62.224819889814945,59.22195512820513,7697,3478,28316,2496,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
343,923.38,camanducaia,2023-02-12,1,MG,62.30832083958021,57.64383561643836,62.98290358744394,62.58881118881119,6670,146,8920,715,0,1,Final_de_Semana,2,Acostamento,Perfil_Plano,0
