,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,mes,iluminacao,dia_da_semana_Final_de_Semana,tipo_faixa_Terceira_faixa,tipo_perfil_de_terreno_Perfil_Ondulado,tipo_perfil_de_terreno_Perfil_Plano
690,59.795,mairipora,2023-03-27,1,SP,0.3839209617936022,0.1917278635165702,0.26843225165634976,-0.2905357454132542,1.4992052909084606,-0.5525671627122444,-0.02997806080170039,0.12712598666704433,1,1,3,0,0,0,0,0
691,59.795,mairipora,2023-03-28,1,SP,0.1089230082183328,-1.4402793275179322,-0.18369715078272839,-0.4188869293789735,1.630350581984257,-0.5151096849486727,-0.12397959325477592,-0.0013823810648842152,1,0,3,0,0,0,0,0
692,59.795,mairipora,2023-03-31,1,SP,0.2562993564501449,0.05699273416687347,-0.03317392773872015,-0.3648251396202624,1.7619609272837262,-0.5448173397266778,0.046167984652196396,0.10096941624373143,1,1,3,0,0,0,0,0
693,59.795,mairipora,2023-04-09,1,SP,-1.7953077950194118,-2.8988568315481054,-4.072418699687314,-1.8809898916797883,1.0394991908076643,-0.526088600844892,2.2187723982652727,-0.26181084310569513,1,1,4,0,0,0,0,0
694,59.795,mairipora,2023-04-10,1,SP,0.4141581449371064,0.26992235822844735,0.25348302552090707,-0.15169470234905297,2.282821657797527,-0.5021933133060618,0.6902466277974602,0.46602415997779395,1,0,4,0,0,0,0,0
695,59.795,mairipora,2023-04-21,1,SP,0.5444197628225349,0.06620068401144912,-0.0706946635882238,0.061562419334956604,0.5616559759836196,-0.513172229202281,0.46132807474520887,-0.10145969398886397,1,0,4,0,0,0,0,0
696,59.795,mairipora,2023-04-25,1,SP,0.2700494421348278,0.37493672710026477,0.14630122344350022,-0.19053655692740895,2.328164444605648,-0.5493380698015916,0.29366264973946765,0.417122745708122,1,0,4,0,0,0,0,0
697,59.795,mairipora,2023-04-30,1,SP,0.17449247847115285,-1.9320346128580268,-1.6433047969644015,-0.24040971904152197,0.463529534788609,-0.43825727367513767,1.0286201168491613,-0.30161431983682346,1,0,4,0,0,0,0,0
698,59.795,mairipora,2023-05-03,1,SP,0.3738933494986117,0.18680071450444705,0.29689052299560365,-0.1647677972043053,2.20980814468086,-0.5299635123376752,0.15882569858871878,0.509239363285876,1,0,5,0,0,0,0,0
699,59.795,mairipora,2023-05-07,1,SP,0.12137768707467646,-1.939979591952832,-2.0628380615827093,-0.44062418000479886,0.6562945105010825,-0.4285699949431795,0.8607945529465665,-0.29479086668291576,1,0,5,0,0,0,0,0
700,59.795,mairipora,2023-05-22,1,SP,0.16002128495337412,-2.7642717114625324,-0.2804074766492146,-0.1958613539551726,2.996912418247474,-0.31103101299542013,0.8745664980759779,0.7810402472498665,1,1,5,0,0,0,0,0
701,59.795,mairipora,2023-06-02,1,SP,0.30918773178686654,0.10846458133417307,0.1560625788600491,-0.1078749565532206,3.8695866689699265,-0.4789438443493621,1.218384709620702,1.3644454919089757,1,0,6,0,0,0,0,0
702,59.795,mairipora,2023-06-07,1,SP,0.2563415599909008,-0.012544077470161496,0.004275603599621769,-0.2947354569327416,4.266742975986699,-0.46021510546757627,1.172424846223713,1.289387507215991,1,1,6,0,0,0,0,0
703,59.795,mairipora,2023-06-11,1,SP,-1.3293095077859287,-3.424411074766634,-4.438840874829145,-1.9915765888591723,1.804513388749809,-0.2851982697101983,3.0829619551358385,0.1441846195518136,1,0,6,0,0,0,0,0
704,59.795,mairipora,2023-06-18,1,SP,0.3954023028556397,-0.6381816164144632,-1.180630093552777,-0.8885137138611983,1.4803705948497028,-0.46861074703527333,1.8889663401952401,0.41143653474653225,1,0,6,0,0,0,0,0
705,59.795,mairipora,2023-06-25,1,SP,-0.6876681537584721,-2.5444436417493215,-4.016530837057182,-1.5501577616766868,1.6082605063597877,-0.26646953082841246,2.2809863596929043,0.08504802555128012,1,0,6,0,0,0,0,0
706,59.795,mairipora,2023-06-26,1,SP,0.4732942215256997,0.20992312093991075,0.2389053061273884,-0.015004821301851063,4.253488930612018,-0.470548202781665,1.035105742171733,1.0505666468292212,1,1,6,0,0,0,0,0
707,59.795,mairipora,2023-06-27,1,SP,0.39472182605360434,0.4842449206573588,0.28195995105730154,0.03970344210422197,4.2172147011655206,-0.4673191098710123,0.915081638979944,1.3178185620239398,1,0,6,0,0,0,0,0
708,59.795,mairipora,2023-06-30,1,SP,0.07390171407239564,0.20251975494506483,-0.49946094894511234,-0.6447642280622572,4.031193011696306,-0.45181946389987915,1.3529814524261707,1.3962882732938784,1,0,6,0,0,0,0,0
709,59.795,mairipora,2023-07-03,1,SP,0.4321083831698055,0.28729891260886536,0.4160362947790245,0.06517904659348181,1.8982218148199257,-0.5293176937555447,0.4102437666489038,0.38527996432321937,1,0,7,0,0,0,0,0
710,59.795,mairipora,2023-07-06,1,SP,0.24878581312157136,-1.7287740388156327,-0.10549607536352244,-0.16292372313579845,3.1501477849477393,-0.4524652824820097,0.6932091973892521,0.7014332937876099,1,0,7,0,0,0,0,0
711,59.795,mairipora,2023-07-12,1,SP,0.2993087553230606,0.20708749640640275,0.1076601229536346,-0.09997751995971378,2.5097681189499683,-0.5247969636806309,0.4589259912924046,0.47512209751633755,1,0,7,0,0,0,0,0
712,59.795,mairipora,2023-07-18,1,SP,0.2770258468732867,0.2749911456989673,0.1605280693468004,-0.0061893949102078,2.3476967219999154,-0.5364216981589807,0.600728984456286,0.5319842071322352,1,0,7,0,0,0,0,0
713,59.795,mairipora,2023-07-19,1,SP,0.1275533628676546,0.3811991391645818,-0.1482080493457659,-0.3576555090677865,2.394667198590892,-0.5235053265163697,0.5486838429788591,0.5558662931709121,1,0,7,0,0,0,0,0
714,59.795,mairipora,2023-07-20,1,SP,0.19355730271799249,0.1970210293124511,-0.0048670233536255575,-0.39531848558808064,2.4107115693076118,-0.5383591539053724,0.5919213451293368,0.6070421918252199,1,0,7,0,0,0,0,0
715,59.795,mairipora,2023-07-21,1,SP,0.023279492680279977,0.11353336880469203,-0.733032674775962,-0.6818884242878656,2.866232181395351,-0.5021933133060618,0.9792172671698192,0.6695905124027073,1,0,7,0,0,0,0,0
716,59.795,mairipora,2023-07-28,1,SP,-0.14085891448193735,-1.4493197758508671,-1.3190548655115044,-1.0383321830140317,1.6391866122340446,-0.5228595079342392,0.33001417932523963,0.1794391275136701,1,0,7,0,0,0,0,0
717,59.795,mairipora,2023-07-29,1,SP,0.5719252642102427,0.24135129285295365,-0.17403138155762202,0.09477048878811896,0.33819742150872567,-0.570004264429769,0.6425252365350811,-0.13671420195072045,1,0,7,0,0,0,0,0
718,59.795,mairipora,2023-07-30,1,SP,-0.8712834883801868,-2.9724975507056377,-3.2929394251269817,-1.5003264848317972,0.31029416808834354,-0.5280260565912835,0.8687214283408207,-0.289104655721326,1,0,7,0,0,0,0,0
719,59.795,mairipora,2023-08-02,1,SP,0.3964425293134409,-0.010901139606997647,0.252292249923428,-0.03737035880214483,1.5006004535794797,-0.5583795299514193,-0.07401625743644617,0.055479728551013366,1,0,8,0,0,0,0,0
720,59.795,mairipora,2023-08-03,1,SP,0.5125368032354267,0.11646566235638732,0.31354753783345407,0.01795880792402172,1.5615225568806474,-0.5738791759225523,-0.06624952093904556,0.09300872089750578,1,0,8,0,0,0,0,0
721,59.795,mairipora,2023-08-07,1,SP,0.48761327715021907,0.13985483871693669,0.38755813511297,0.10492959217119105,1.3148112912221017,-0.5706500830118997,0.11238541850116869,0.06344042389723903,1,0,8,0,0,0,0,0
722,59.795,mairipora,2023-08-11,1,SP,0.05365233251473121,-1.5087016484101845,-0.8953922874415089,-0.37494384778884776,1.5247832732104776,-0.5293176937555447,0.160427087557255,0.12712598666704433,1,0,8,0,0,0,0,0
723,59.795,mairipora,2023-08-14,1,SP,0.3806549136439537,0.5473624404273204,0.2982786468227752,0.02795759760699045,0.7007071888618575,-0.5790457245795967,-0.03662382502112566,-0.08553830329641264,1,0,8,0,0,0,0,0
724,59.795,mairipora,2023-08-17,1,SP,0.330890396420522,-1.1351878868744136,0.08858894744801317,-0.03874380779417181,1.428517048910159,-0.5499838883837221,-0.06865160439184986,0.09642044747445963,1,0,8,0,0,0,0,0
725,59.795,mairipora,2023-08-18,1,SP,0.48502567937391516,0.27485771095187966,-0.08791806633104764,-0.10545550334723845,1.5199002038619107,-0.575816631668944,-0.03470215825888221,0.032734884704654334,1,0,8,0,0,0,0,0
726,59.795,mairipora,2023-08-19,1,SP,0.22589554280531426,-4.252670963557114,-1.3027319510376671,-0.40464393100349383,0.23146747717576388,-0.3459052164304696,0.21127118730827965,-0.2720460228365567,1,0,8,0,0,0,0,0
727,59.795,mairipora,2023-08-23,1,SP,0.46743155519207236,-0.049213346079940795,0.29459324687980415,-0.15757100847828995,1.6880173057197134,-0.5635460786084636,-0.10636431460087761,0.17034118997512648,1,0,8,0,0,0,0,0
728,59.795,mairipora,2023-08-26,1,SP,0.35139056446689365,-4.30617204693446,-0.6952047557601426,-0.6613931067810062,-0.12290384126308973,-0.46602747270675116,0.04816972086286666,-0.4130640546839827,1,1,8,0,0,0,0,0
729,59.795,mairipora,2023-08-29,1,SP,0.16497473731452197,-3.2727710319946524,-0.23375134191239483,-0.08419331363276343,0.7767435544323988,-0.5041307690524534,-0.25056939121756333,0.02363694716611072,1,0,8,0,0,0,0,0
730,59.795,mairipora,2023-09-03,1,SP,0.42523799891802216,-2.243628989814427,-1.5910818964114597,-0.5744246791857098,0.5249166923134497,-0.4550485568105319,0.49439675694548163,-0.3687116091835826,1,1,9,0,0,0,0,0
